,COMPANY,TICKER,GROUP,P/E,LAST CLOSE,VOLUME,MARKET SECTOR,MACD
0,Asseco Business Solutions SA,ABS,sWIG80,15.6,35.0,734.0,Informatyka,No Signal
1,Dino Polska SA,DNP,mWIG40,47.7,238.6,137162.0,Sieci handlowe,No Signal
